changedate;vertriebsweg;eroeffnungsdatum;status;region;berater;vrb_filial_und_betreuernr_an964;kunde_id
01.01.2025;VR-PrivateBanking;20.12.2024;aktiv;Region Mitte;Carter, Kelvin;000000060304;CH5644497
01.01.2025;VR-PrivateBanking;20.12.2024;aktiv;Region Nord;Watson, Savana;000000031123;CH2414303
01.01.2025;VR-PrivateBanking;20.12.2024;aktiv;Region West & Lux;Ferguson, Fenton;000000012000;CH7199019
01.01.2026;VR-PrivateBanking;20.12.2024;aktiv;Region West & Lux;Tucker, Aiden;000000012000;CH7199019
01.01.2025;VR-PrivateBanking;20.12.2024;aktiv;Region Nord;Watson, Savana;011500031122;CH4500142
01.01.2025;VR-PrivateBanking;20.12.2024;aktiv;Region West & Lux;Henderson, Daniel;000000020417;CH5699941
01.01.2026;VR-PrivateBanking;20.12.2024;aktiv;Region West & Lux;Allen, Tess;000000020417;CH5699941
01.01.2025;VR-PrivateBanking;20.12.2024;aktiv;Region Mitte;Stewart, Sam;000000008801;CH3364702
10.10.2025;VR-PrivateBanking;20.12.2024;aktiv;Region Mitte;Stewart, Sam;000000001202;CH3364702
01.01.2026;VR-PrivateBanking;20.12.2024;aktiv;Region West & Lux;Tucker, Aiden;000000001202;CH3364702
01.01.2025;VR-PrivateBanking;20.12.2024;aktiv;Region Baden-Württemberg;Murphy, John;000000000962;CH4683284
15.08.2025;VR-PrivateBanking;20.12.2024;aktiv;Region Mitte;Stewart, Sam;;CH4683284
01.01.2026;VR-PrivateBanking;20.12.2024;aktiv;Region West & Lux;Tucker, Aiden;;CH4683284
01.01.2025;VR-PrivateBanking;20.12.2024;aktiv;Region West & Lux;Mason, Nicole;000000020010;CH8421525
01.01.2025;VR-PrivateBanking;20.12.2024;aktiv;Region Bayern;Chapman, Arianna;000000000120;CH4818985
10.02.2025;VR-PrivateBanking;20.12.2024;aktiv;Region Bayern;Chapman, Arianna;002500000120;CH4818985
01.01.2025;VR-PrivateBanking;20.12.2024;aktiv;Region Baden-Württemberg;Harrison, Julian;000000081006;CH8384627
01.01.2025;VR-PrivateBanking;20.12.2024;aktiv;Region West & Lux;Henderson, Daniel;000000015411;CH5767054
01.01.2026;VR-PrivateBanking;20.12.2024;aktiv;Region West & Lux;Allen, Tess;000000015411;CH5767054
01.01.2025;VR-PrivateBanking;20.12.2024;aktiv;Region West & Lux;Allen, Tess;000000000146;CH1731690
01.01.2025;VR-PrivateBanking;20.12.2024;aktiv;Region West & Lux;Allen, Tess;000000000146;CH6640728
01.01.2025;VR-PrivateBanking;20.12.2024;aktiv;Region Baden-Württemberg;Crawford, Victor;000000000107;CH2547163
01.01.2025;VR-PrivateBanking;20.12.2024;aktiv;Region West & Lux;Ferguson, Fenton;000000071105;CH5766279
22.04.2025;VR-PrivateBanking;20.12.2024;aktiv;Region West & Lux;Ferguson, Fenton;002500071105;CH5766279
01.01.2026;VR-PrivateBanking;20.12.2024;aktiv;Region West & Lux;Tucker, Aiden;002500071105;CH5766279
01.01.2025;VR-PrivateBanking;20.12.2024;aktiv;Region Baden-Württemberg;Crawford, Victor;000000000110;CH5341170
01.01.2025;VR-PrivateBanking;23.12.2024;aktiv;Region West & Lux;Mason, Nicole;000000020010;CH4824605
01.01.2025;VR-PrivateBanking;23.12.2024;aktiv;Region Baden-Württemberg;Crawford, Victor;000000000109;CH4489465
12.03.2026;VR-PrivateBanking;23.12.2024;aktiv;Region Baden-Württemberg;Crawford, Victor;000000000118;CH4489465
01.01.2025;VR-PrivateBanking;23.12.2024;aktiv;Region Mitte;Carter, Kelvin;000000060504;CH5249724
01.01.2025;VR-PrivateBanking;23.12.2024;aktiv;Region West & Lux;Wells, Antony;003000010009;CH5069251
16.04.2026;VR-PrivateBanking;23.12.2024;aktiv;Region West & Lux;Wells, Antony;003000020003;CH5069251
01.01.2025;VR-PrivateBanking;23.12.2024;aktiv;Region West & Lux;Mason, Nicole;000000001103;CH6887650
20.01.2025;VR-PrivateBanking;23.12.2024;aktiv;Region West & Lux;Mason, Nicole;000000001603;CH6887650
01.01.2025;VR-PrivateBanking;23.12.2024;aktiv;Region West & Lux;Craig, Connie;000000000581;CH2374075
14.04.2025;VR-PrivateBanking;23.12.2024;aktiv;Region West & Lux;Craig, Connie;020700000581;CH2374075
01.01.2025;VR-PrivateBanking;23.12.2024;aktiv;Region West & Lux;Mason, Nicole;000000062005;CH5447176
26.11.2025;VR-PrivateBanking;23.12.2024;aktiv;Region West & Lux;Mason, Nicole;022100062005;CH5447176
01.01.2025;DZ-PrivateBanking;23.12.2024;aktiv;PWM Schweiz;Crawford, April;009100001529;CH2166965
21.11.2025;DZ-PrivateBanking;23.12.2024;aktiv;PWM Schweiz;Crawford, April;009100001110;CH2166965
01.01.2025;VR-PrivateBanking;23.12.2024;aktiv;Region Mitte;Carter, Kelvin;004100000318;CH2977550
01.01.2025;VR-PrivateBanking;23.12.2024;aktiv;Region Bayern;Warren, Rafael;000000008832;CH5965015
11.08.2025;VR-PrivateBanking;23.12.2024;aktiv;Region Bayern;Warren, Rafael;000000080146;CH5965015
01.01.2025;VR-PrivateBanking;23.12.2024;aktiv;Region Mitte;Stewart, Sam;000000002675;CH6979326
19.12.2025;VR-PrivateBanking;23.12.2024;aktiv;Region Mitte;Stewart, Sam;001100002675;CH6979326
01.01.2025;VR-PrivateBanking;23.12.2024;aktiv;Region Mitte;Stewart, Sam;000000002675;CH2725820
19.12.2025;VR-PrivateBanking;23.12.2024;aktiv;Region Mitte;Stewart, Sam;001100002675;CH2725820
01.01.2025;VR-PrivateBanking;23.12.2024;aktiv;Region Mitte;Stewart, Sam;000000002675;CH6720423
19.12.2025;VR-PrivateBanking;23.12.2024;aktiv;Region Mitte;Stewart, Sam;001100002675;CH6720423
01.01.2025;VR-PrivateBanking;23.12.2024;aktiv;Region Mitte;Carter, Kelvin;000100000318;CH3571879
01.01.2025;VR-PrivateBanking;23.12.2024;aktiv;Region Baden-Württemberg;Harrison, Julian;000000000310;CH6124047
26.11.2025;VR-PrivateBanking;23.12.2024;aktiv;Region Baden-Württemberg;Harrison, Julian;002100000329;CH6124047
01.01.2025;VR-PrivateBanking;27.12.2024;aktiv;Region Bayern;Chapman, Arianna;000000000775;CH9500390
16.04.2025;VR-PrivateBanking;27.12.2024;aktiv;Region Bayern;Jones, Arianna;000000000775;CH9500390
01.04.2026;VR-PrivateBanking;27.12.2024;aktiv;Region Bayern;Clark, Edwin;000000000775;CH9500390
01.01.2025;VR-PrivateBanking;27.12.2024;aktiv;Region West & Lux;Henderson, Daniel;000000000190;CH5701182
30.04.2025;VR-PrivateBanking;27.12.2024;aktiv;Region West & Lux;Henderson, Daniel;002100000190;CH5701182
07.01.2026;VR-PrivateBanking;27.12.2024;annuliert;Region West & Lux;Henderson, Daniel;002100000190;CH5701182
01.01.2025;VR-PrivateBanking;27.12.2024;aktiv;Region Nord;Grant, Jacob;000000026002;CH9700296
01.01.2025;VR-PrivateBanking;27.12.2024;aktiv;Region West & Lux;Allen, Tess;000000000146;CH6557160
01.01.2025;VR-PrivateBanking;27.12.2024;aktiv;Region West & Lux;Henderson, Daniel;000000006006;CH5074422
20.05.2025;VR-PrivateBanking;27.12.2024;aktiv;Region West & Lux;Henderson, Daniel;001000006006;CH5074422
01.01.2025;VR-PrivateBanking;27.12.2024;aktiv;Region Mitte;Stewart, Sam;000000000015;CH2074514
01.01.2025;VR-PrivateBanking;27.12.2024;aktiv;Region Mitte;Stewart, Sam;000000008816;CH2625583
10.10.2025;VR-PrivateBanking;27.12.2024;aktiv;Region Mitte;Stewart, Sam;000000007917;CH2625583
01.01.2026;VR-PrivateBanking;27.12.2024;aktiv;Region West & Lux;Tucker, Aiden;000000007917;CH2625583
01.01.2025;VR-PrivateBanking;27.12.2024;aktiv;Region Bayern;Andrews, Elian;000000000103;CH5051891
24.01.2025;VR-PrivateBanking;27.12.2024;aktiv;Region Bayern;Holmes, Alfred;000000000103;CH5051891
19.06.2025;VR-PrivateBanking;27.12.2024;aktiv;Region Bayern;Holmes, Alfred;000000000004;CH5051891
26.08.2025;VR-PrivateBanking;27.12.2024;aktiv;Region Bayern;Spencer, Chloe;000000000004;CH5051891
01.01.2025;VR-PrivateBanking;27.12.2024;aktiv;Region Baden-Württemberg;Payne, Violet;000000000119;CH2939550
10.02.2026;VR-PrivateBanking;27.12.2024;aktiv;Region Baden-Württemberg;Payne, Violet;000000000812;CH2939550
01.01.2025;VR-PrivateBanking;30.12.2024;aktiv;Region Mitte;Ferguson, Abigail;000000011209;CH7299122
24.02.2025;VR-PrivateBanking;30.12.2024;aktiv;Region Mitte;Ferguson, Abigail;005100011209;CH7299122
30.01.2026;VR-PrivateBanking;30.12.2024;annuliert;Region Mitte;Ferguson, Abigail;005100011209;CH7299122
01.01.2025;VR-PrivateBanking;30.12.2024;aktiv;Region Mitte;Carter, Kelvin;000000060701;CH3384557
01.01.2025;VR-PrivateBanking;30.12.2024;aktiv;Region Mitte;Carter, Kelvin;000000060701;CH7612479
01.01.2025;VR-PrivateBanking;30.12.2024;aktiv;Region Nord;Watson, Savana;000000031122;CH5639760
01.01.2025;VR-PrivateBanking;30.12.2024;aktiv;Region Baden-Württemberg;Murphy, John;000000018141;CH1715106
18.07.2025;VR-PrivateBanking;30.12.2024;aktiv;Region Baden-Württemberg;Murphy, John;008200018141;CH1715106
01.01.2025;DZ-PrivateBanking;30.12.2024;aktiv;PWM Schweiz;Chapman, Alberta;023200003837;CH3511870
14.07.2025;DZ-PrivateBanking;30.12.2024;aktiv;PWM Schweiz;Chapman, Alberta;023200027268;CH3511870
25.02.2026;DZ-PrivateBanking;30.12.2024;aktiv;PWM Schweiz;Chapman, Alberta;021900027371;CH3511870
01.01.2025;VR-PrivateBanking;30.12.2024;aktiv;Region West & Lux;Henderson, Daniel;000000033004;CH4690279
24.02.2026;VR-PrivateBanking;30.12.2024;annuliert;Region West & Lux;Henderson, Daniel;000000033004;CH4690279
01.01.2025;VR-PrivateBanking;30.12.2024;aktiv;Region West & Lux;Henderson, Daniel;000000033004;CH8879301
11.03.2026;VR-PrivateBanking;30.12.2024;annuliert;Region West & Lux;Henderson, Daniel;000000033004;CH8879301
01.01.2025;Wealth Management;08.07.2022;aktiv;Region West & Lux;Bailey, Lilianna;;DE6289601
01.01.2025;DZ-PrivateBanking;25.04.2024;aktiv;Region Bayern;Hall, Spike;300200000846;DE2105839
26.02.2026;DZ-PrivateBanking;25.04.2024;aktiv;Region Bayern;Hall, Spike;013500013503;DE2105839
01.01.2025;DZ-PrivateBanking;30.12.2024;aktiv;Region Mitte;Hill, Honey;008100060610;DE9516571
01.01.2025;DZ-PrivateBanking;30.12.2024;aktiv;Region Mitte;Hill, Honey;008100060610;DE2291471
01.01.2025;DZ-PrivateBanking;30.12.2024;aktiv;Region Mitte;Hill, Honey;008100060610;DE8277313
01.01.2025;DZ-PrivateBanking;30.12.2024;aktiv;Region Mitte;Hill, Honey;008100060610;DE7463117
01.01.2025;DZ-PrivateBanking;27.12.2024;aktiv;Region Nord;Warren, Edgar;000000031115;DE8170573
01.01.2025;Wealth Management;30.12.2024;aktiv;Region Nord;Mitchell, Spike;;DE8066675
01.01.2025;DZ-PrivateBanking;30.12.2024;aktiv;Region Nord;Brown, Vincent;000000023301;DE3160870
25.03.2025;DZ-PrivateBanking;30.12.2024;aktiv;Region Nord;Brown, Vincent;002400024301;DE3160870
01.01.2025;DZ-PrivateBanking;27.12.2024;aktiv;Region West & Lux;Owens, George;;DE5871985
19.05.2026;DZ-PrivateBanking;27.12.2024;aktiv;Region West & Lux;Owens, George;017100061523;DE5871985
01.01.2025;DZ-PrivateBanking;23.12.2024;aktiv;Region Bayern;Evans, John;000100009664;DE4528636
26.03.2025;DZ-PrivateBanking;23.12.2024;aktiv;Region Bayern;Evans, John;000100008878;DE4528636
01.01.2025;DZ-PrivateBanking;23.12.2024;aktiv;Region Baden-Württemberg;Tucker, Paige;000000000154;DE8844574
01.01.2025;VR-PrivateBanking;02.02.2024;aktiv;Region Nord;Watson, Savana;700000026344;DV2448631
01.01.2025;VR-PrivateBanking;23.12.2024;aktiv;Region Baden-Württemberg;Harrison, Julian;084400061106;DV1251271
01.01.2025;VR-PrivateBanking;23.12.2024;aktiv;Region West & Lux;Craig, Connie;020700000581;DV6587318
01.01.2025;VR-PrivateBanking;23.12.2024;aktiv;Region Nord;Watson, Savana;002400024301;DV8541939
02.01.2026;VR-PrivateBanking;23.12.2024;annuliert;Region Nord;Watson, Savana;002400024301;DV8541939
01.01.2025;VR-PrivateBanking;23.12.2024;aktiv;Region Mitte;Carter, Kelvin;008500060611;DV7745849
01.01.2025;VR-PrivateBanking;23.12.2024;aktiv;Region Baden-Württemberg;Harrison, Julian;002100000310;DV5195005
04.12.2025;VR-PrivateBanking;23.12.2024;aktiv;Region Baden-Württemberg;Harrison, Julian;002100000329;DV5195005
01.01.2025;DZ-PrivateBanking;27.12.2024;aktiv;Region Baden-Württemberg;Henderson, Dainton;012900015707;DV2798587
14.04.2025;DZ-PrivateBanking;27.12.2024;aktiv;Region Baden-Württemberg;Hall, Chester;012900015707;DV2798587
18.06.2025;DZ-PrivateBanking;27.12.2024;aktiv;Region Baden-Württemberg;Hall, Chester;012900000000;DV2798587
30.03.2026;DZ-PrivateBanking;27.12.2024;aktiv;Region Baden-Württemberg;Craig, Jessica;012900000000;DV2798587
29.05.2026;DZ-PrivateBanking;27.12.2024;aktiv;Region Baden-Württemberg;Craig, Jessica;012900015505;DV2798587
01.01.2025;VR-PrivateBanking;27.12.2024;aktiv;Region Baden-Württemberg;Douglas, Harold;006000000500;DV3630811
01.01.2025;VR-PrivateBanking;27.12.2024;aktiv;Region Mitte;Carter, Kelvin;000600060310;DV2753209
01.01.2025;VR-PrivateBanking;30.12.2024;aktiv;Region Baden-Württemberg;Murphy, John;000000011181;DV3517525
01.01.2025;VR-PrivateBanking;30.12.2024;aktiv;Region Nord;Grant, Jacob;026000026002;DV8590979
01.01.2025;VR-PrivateBanking;30.12.2024;aktiv;Region Bayern;Warren, Rafael;002000000441;DV5185730
21.05.2025;VR-PrivateBanking;30.12.2024;aktiv;Region Bayern;Warren, Rafael;002000004114;DV5185730
26.05.2026;VR-PrivateBanking;30.12.2024;aktiv;Region Bayern;Warren, Rafael;002000000441;DV5185730
01.01.2025;VR-PrivateBanking;30.12.2024;aktiv;Region Nord;Grant, Jacob;054000017332;DV8512132
01.01.2025;DZ-PrivateBanking;23.12.2024;aktiv;Region Baden-Württemberg;Jones, Paige;000000002010;LU9257864
10.09.2025;DZ-PrivateBanking;23.12.2024;aktiv;Region Baden-Württemberg;Jones, Paige;000000001113;LU9257864
01.01.2025;Wealth Management;23.12.2024;aktiv;Region West & Lux;Payne, Jack;;LU6068433
01.01.2025;Wealth Management;30.12.2024;aktiv;Region West & Lux;Payne, Jack;;LU5051459
01.01.2025;Wealth Management;23.12.2024;aktiv;Region West & Lux;Stewart, Valeria;;LU3216915
01.01.2025;VR-PrivateBanking;23.12.2024;Temporäre Sperre;Region Baden-Württemberg;Douglas, Harold;;LU3686451
10.01.2025;VR-PrivateBanking;23.12.2024;aktiv;Region Baden-Württemberg;Douglas, Harold;;LU3686451
01.01.2025;Wealth Management;27.12.2024;aktiv;Region West & Lux;Fowler, Maya;;LU1674146
01.01.2025;Wealth Management;27.12.2024;aktiv;Region West & Lux;Fowler, Maya;;LU5607889
01.01.2025;VR-PrivateBanking;27.12.2024;Temporäre Sperre;Region Bayern;Warren, Rafael;;LU2636045
24.01.2025;VR-PrivateBanking;27.12.2024;aktiv;Region Bayern;Warren, Rafael;;LU2636045
12.12.2025;VR-PrivateBanking;27.12.2024;aktiv;Region Bayern;Warren, Rafael;000000012013;LU2636045
09.01.2026;VR-PrivateBanking;27.12.2024;annuliert;Region Bayern;Warren, Rafael;000000012013;LU2636045
01.01.2025;VR-PrivateBanking;30.12.2024;Temporäre Sperre;Region Bayern;Andrews, Elian;;LU5131284
24.01.2025;VR-PrivateBanking;30.12.2024;Temporäre Sperre;Region Bayern;Holmes, Alfred;;LU5131284
26.08.2025;VR-PrivateBanking;30.12.2024;Temporäre Sperre;Region Bayern;Spencer, Chloe;;LU5131284
12.12.2025;VR-PrivateBanking;30.12.2024;Temporäre Sperre;Region Bayern;Spencer, Chloe;000000000459;LU5131284
