datum;aum;kunde_id
31.03.2025;103083.92674959;CH4489465
30.04.2025;103580.12145564;CH4489465
31.05.2025;104588.61203576;CH4489465
31.01.2025;60779.87865483;CH5249724
28.02.2025;61855.2115612;CH5249724
31.03.2025;62171.2853885;CH5249724
30.04.2025;62509.06547252;CH5249724
31.05.2025;63111.77544328;CH5249724
31.01.2025;363904.57622985;CH5069251
28.02.2025;370578.70403548;CH5069251
31.03.2025;372674.14006407;CH5069251
30.04.2025;374511.1295198;CH5069251
31.05.2025;378115.59441416;CH5069251
31.01.2025;60866.6497377;CH6887650
28.02.2025;61930.14234971;CH6887650
31.03.2025;62220.03154572;CH6887650
30.04.2025;62531.92200348;CH6887650
31.05.2025;63143.74203642;CH6887650
31.01.2025;75941.14369527;CH2374075
28.02.2025;77279.21245999;CH2374075
31.03.2025;77632.09547047;CH2374075
30.04.2025;78055.91593996;CH2374075
31.05.2025;78799.94306496;CH2374075
31.01.2025;61247.04976242;CH5447176
28.02.2025;62328.42839206;CH5447176
31.03.2025;62613.72548833;CH5447176
30.04.2025;62958.76186124;CH5447176
31.05.2025;63561.79142092;CH5447176
31.01.2025;529156.5;CH2166965
28.02.2025;527251.3077;CH2166965
31.03.2025;507396.5052;CH2166965
30.04.2025;514112.1852;CH2166965
31.05.2025;536987.3784;CH2166965
31.01.2025;60524.94163626;CH2977550
28.02.2025;61079.0780493;CH2977550
31.03.2025;60724.7436976;CH2977550
30.04.2025;59376.71955956;CH2977550
31.05.2025;60320.81137832;CH2977550
31.01.2025;70955.71689678;CH5965015
28.02.2025;101324.77820068;CH5965015
31.03.2025;100342.16000133;CH5965015
30.04.2025;98073.34836208;CH5965015
31.05.2025;99763.69051472;CH5965015
31.01.2025;60605.1405954;CH6979326
28.02.2025;61677.06598005;CH6979326
31.03.2025;61995.44878737;CH6979326
30.04.2025;62315.54116332;CH6979326
31.05.2025;62903.45731337;CH6979326
31.01.2025;60584.90565084;CH2725820
28.02.2025;61656.0419273;CH2725820
31.03.2025;61975.2935209;CH2725820
30.04.2025;62295.93311416;CH2725820
31.05.2025;62883.02053296;CH2725820
31.01.2025;58949.96022966;CH6720423
28.02.2025;59996.86626463;CH6720423
31.03.2025;60366.35557054;CH6720423
30.04.2025;60650.89127988;CH6720423
31.05.2025;61227.40579897;CH6720423
31.01.2025;0.0;CH3571879
28.02.2025;488127.96196768;CH3571879
31.03.2025;489908.0081619;CH3571879
30.04.2025;492606.9161612;CH3571879
31.05.2025;497644.11384805;CH3571879
31.01.2025;101568.24590592;CH6124047
28.02.2025;103433.28311225;CH6124047
31.03.2025;103865.35513905;CH6124047
30.04.2025;104385.92600496;CH6124047
31.05.2025;105415.52549434;CH6124047
31.01.2025;61266.09939642;CH9500390
28.02.2025;62347.58955406;CH9500390
31.03.2025;62610.04277176;CH9500390
30.04.2025;62955.02344448;CH9500390
31.05.2025;63558.03379393;CH9500390
31.01.2025;60772.60804452;CH5701182
28.02.2025;61848.49450941;CH5701182
31.03.2025;62201.24024835;CH5701182
30.04.2025;62545.51237324;CH5701182
31.05.2025;63142.13621292;CH5701182
31.01.2025;60759.90828852;CH9700296
28.02.2025;61835.72040141;CH9700296
31.03.2025;62188.64976435;CH9700296
30.04.2025;62532.73146124;CH9700296
31.05.2025;63129.28962492;CH9700296
31.01.2025;60772.60804452;CH6557160
28.02.2025;61848.49450941;CH6557160
31.03.2025;62201.24024835;CH6557160
30.04.2025;62545.51237324;CH6557160
31.05.2025;63142.13621292;CH6557160
31.01.2025;100791.76165782;CH5074422
28.02.2025;102642.2996998;CH5074422
31.03.2025;103151.44322004;CH5074422
30.04.2025;103655.55013796;CH5074422
31.05.2025;104657.42692548;CH5074422
31.01.2025;60772.60804452;CH2074514
28.02.2025;61848.49450941;CH2074514
31.03.2025;62193.59152932;CH2074514
30.04.2025;62537.7479692;CH2074514
31.05.2025;63134.33191071;CH2074514
31.01.2025;90816.77005701;CH2625583
28.02.2025;92471.79974727;CH2625583
31.03.2025;92850.94792617;CH2625583
30.04.2025;93346.26415432;CH2625583
31.05.2025;94261.52899079;CH2625583
31.01.2025;98031.53319;CH5051891
28.02.2025;97658.85404175;CH5051891
31.03.2025;93961.39713876;CH5051891
30.04.2025;95195.08697968;CH5051891
31.05.2025;99402.94761819;CH5051891
31.01.2025;80475.0730017;CH2939550
28.02.2025;81967.7252545;CH2939550
31.03.2025;82237.02302519;CH2939550
30.04.2025;82662.06076792;CH2939550
31.05.2025;83512.06083787;CH2939550
31.01.2025;60012.696978;CH7299122
28.02.2025;59961.662952;CH7299122
31.03.2025;60262.73588722;CH7299122
30.04.2025;60109.51314908;CH7299122
31.05.2025;60205.65242239;CH7299122
31.01.2025;60449.98132647;CH3384557
28.02.2025;61520.25315926;CH3384557
31.03.2025;61867.13077127;CH3384557
30.04.2025;62193.02547104;CH3384557
31.05.2025;62772.57199263;CH3384557
31.01.2025;65386.33415115;CH7612479
28.02.2025;65990.76515566;CH7612479
31.03.2025;65524.11029356;CH7612479
30.04.2025;64065.36517448;CH7612479
31.05.2025;65116.02516461;CH7612479
31.01.2025;59015.766132;CH5639760
28.02.2025;58791.40562794;CH5639760
31.03.2025;56565.50878441;CH5639760
30.04.2025;57308.20350768;CH5639760
31.05.2025;59841.36600867;CH5639760
31.01.2025;0.0;CH1715106
28.02.2025;59143.4813346;CH1715106
31.03.2025;59195.90220962;CH1715106
30.04.2025;59530.56978776;CH1715106
31.05.2025;60179.53102679;CH1715106
31.01.2025;1500317.42445;CH3511870
28.02.2025;1499824.40307351;CH3511870
31.03.2025;2508160.01231268;CH3511870
30.04.2025;2521963.68087504;CH3511870
31.05.2025;2529606.35564028;CH3511870
31.01.2025;201856.66331781;CH4690279
28.02.2025;205505.92146579;CH4690279
31.03.2025;206592.65642934;CH4690279
30.04.2025;207687.14665924;CH4690279
31.05.2025;209694.24571107;CH4690279
31.01.2025;201728.18411961;CH8879301
28.02.2025;203719.65407361;CH8879301
31.03.2025;202673.50106189;CH8879301
30.04.2025;198208.8329708;CH8879301
31.05.2025;201422.04935513;CH8879301
31.01.2025;220271.51;DE6289601
28.02.2025;211567.51;DE6289601
31.03.2025;202619.51;DE6289601
30.04.2025;200867.53;DE6289601
31.05.2025;187165.53;DE6289601
31.01.2025;217267.07;DE2105839
28.02.2025;210416.62;DE2105839
31.03.2025;196886.36;DE2105839
30.04.2025;193421.55;DE2105839
31.05.2025;207450.81;DE2105839
31.01.2025;1014496.63;DE9516571
28.02.2025;1005676.75;DE9516571
31.03.2025;957914.18;DE9516571
30.04.2025;953845.74;DE9516571
31.05.2025;973484.93;DE9516571
31.01.2025;2029503.55;DE2291471
28.02.2025;2012033.75;DE2291471
31.03.2025;1916608.19;DE2291471
30.04.2025;1908497.36;DE2291471
31.05.2025;1947798.31;DE2291471
31.01.2025;0.0;DE8277313
28.02.2025;0.0;DE8277313
31.03.2025;0.0;DE8277313
30.04.2025;443.75;DE8277313
31.05.2025;443.75;DE8277313
31.01.2025;0.0;DE7463117
28.02.2025;0.0;DE7463117
31.03.2025;0.0;DE7463117
30.04.2025;209.71;DE7463117
31.05.2025;209.71;DE7463117
31.01.2025;297991.92;DE8170573
28.02.2025;367991.92;DE8170573
31.03.2025;368425.19;DE8170573
30.04.2025;368875.22;DE8170573
31.05.2025;368875.22;DE8170573
31.01.2025;0.0;DE8066675
28.02.2025;0.0;DE8066675
31.03.2025;0.0;DE8066675
30.04.2025;0.0;DE8066675
31.05.2025;0.0;DE8066675
31.01.2025;1034090.86;DE3160870
28.02.2025;1270073.94;DE3160870
31.03.2025;1209137.92;DE3160870
30.04.2025;1335694.51;DE3160870
31.05.2025;1409005.78;DE3160870
31.01.2025;465009.86;DE5871985
28.02.2025;468683.42;DE5871985
31.03.2025;456950.94;DE5871985
30.04.2025;449124.66;DE5871985
31.05.2025;465056.73;DE5871985
31.01.2025;769017.69;DE4528636
28.02.2025;772619.26;DE4528636
31.03.2025;986499.28;DE4528636
30.04.2025;944593.96;DE4528636
31.05.2025;945462.09;DE4528636
31.01.2025;0.0;DE8844574
28.02.2025;490610.89;DE8844574
31.03.2025;458872.87;DE8844574
30.04.2025;456037.3;DE8844574
31.05.2025;467890.41;DE8844574
31.01.2025;2555197.32;DV2448631
28.02.2025;2538829.36;DV2448631
31.03.2025;2452043.35;DV2448631
30.04.2025;2359067.56;DV2448631
31.05.2025;2430952.2;DV2448631
31.01.2025;237937.73;DV1251271
28.02.2025;242057.89;DV1251271
31.03.2025;237550.84;DV1251271
30.04.2025;235681.24;DV1251271
31.05.2025;238748.7;DV1251271
31.01.2025;126492.95;DV6587318
28.02.2025;127335.53;DV6587318
31.03.2025;125133.95;DV6587318
30.04.2025;124495.22;DV6587318
31.05.2025;126479.36;DV6587318
31.01.2025;61715.44;DV8541939
28.02.2025;62183.28;DV8541939
31.03.2025;60589.36;DV8541939
30.04.2025;59533.45;DV8541939
31.05.2025;61616.97;DV8541939
31.01.2025;367881.97;DV7745849
28.02.2025;368877.62;DV7745849
31.03.2025;356514.5;DV7745849
30.04.2025;350393.36;DV7745849
31.05.2025;360925.76;DV7745849
31.01.2025;101839.22;DV5195005
28.02.2025;102090.36;DV5195005
31.03.2025;98842.86;DV5195005
30.04.2025;96819.46;DV5195005
31.05.2025;99867.78;DV5195005
31.01.2025;2880488.44;DV2798587
28.02.2025;2880550.66;DV2798587
31.03.2025;2740298.64;DV2798587
30.04.2025;2646196.74;DV2798587
31.05.2025;2749443.41;DV2798587
31.01.2025;61258.56;DV3630811
28.02.2025;61420.8;DV3630811
31.03.2025;59478.99;DV3630811
30.04.2025;58257.12;DV3630811
31.05.2025;60107.67;DV3630811
31.01.2025;449745.28;DV2753209
28.02.2025;451116.5;DV2753209
31.03.2025;435722.76;DV2753209
30.04.2025;427999.61;DV2753209
31.05.2025;440945.56;DV2753209
31.01.2025;339952.84;DV3517525
28.02.2025;342482.2;DV3517525
31.03.2025;328803.03;DV3517525
30.04.2025;323806.29;DV3517525
31.05.2025;334226.27;DV3517525
31.01.2025;102214.69;DV8590979
28.02.2025;102466.7;DV8590979
31.03.2025;99207.95;DV8590979
30.04.2025;97148.42;DV8590979
31.05.2025;100207.3;DV8590979
31.01.2025;313998.67;DV5185730
28.02.2025;312567.44;DV5185730
31.03.2025;292481.38;DV5185730
30.04.2025;290283.53;DV5185730
31.05.2025;297676.67;DV5185730
31.01.2025;204456.87;DV8512132
28.02.2025;206032.13;DV8512132
31.03.2025;198574.57;DV8512132
30.04.2025;194272.19;DV8512132
31.05.2025;201390.77;DV8512132
31.01.2025;0.0;LU9257864
28.02.2025;0.0;LU9257864
31.03.2025;0.0;LU9257864
30.04.2025;0.0;LU9257864
31.05.2025;2572945.65;LU9257864
31.01.2025;0.0;LU6068433
28.02.2025;280746.02;LU6068433
31.03.2025;281206.5;LU6068433
30.04.2025;283129.52;LU6068433
31.05.2025;283599.17;LU6068433
31.01.2025;0.0;LU5051459
28.02.2025;285404.38;LU5051459
31.03.2025;285404.38;LU5051459
30.04.2025;0.0;LU5051459
31.05.2025;0.0;LU5051459
31.01.2025;6384723.03;LU3216915
28.02.2025;6501176.13;LU3216915
31.03.2025;6302208.69;LU3216915
30.04.2025;6177854.04;LU3216915
31.05.2025;6376590.73;LU3216915
31.01.2025;99922.85;LU3686451
28.02.2025;99701.82;LU3686451
31.03.2025;95822.08;LU3686451
30.04.2025;91242.66;LU3686451
31.05.2025;91516.56;LU3686451
31.01.2025;1075632.26;LU1674146
28.02.2025;1088644.07;LU1674146
31.03.2025;1053810.65;LU1674146
30.04.2025;1045139.48;LU1674146
31.05.2025;1079149.28;LU1674146
31.01.2025;516365.81;LU5607889
28.02.2025;523576.89;LU5607889
31.03.2025;495009.18;LU5607889
30.04.2025;487987.76;LU5607889
31.05.2025;515589.59;LU5607889
31.01.2025;346141.93;LU2636045
28.02.2025;346115.0;LU2636045
31.03.2025;333434.18;LU2636045
30.04.2025;0.0;LU2636045
31.05.2025;0.0;LU2636045
31.01.2025;60844.31;LU5131284
28.02.2025;60851.38;LU5131284
31.03.2025;58634.52;LU5131284
30.04.2025;55971.91;LU5131284
31.05.2025;56284.96;LU5131284
